Время;ISIN;Эмитент;Тип ценной бумаги;Рынок;Площадка;Торговая цена;Кол-во ЦБ;сумма
16/01/24 16:16;UZ7021720006 UZMK;<O'zmetkombinat>AJ;Простыеакции;STK;G1;6600;850; 5 610 000,00 
16/01/24 16:16;UZ7025870005 BIOK;<Biokimyo>AJ;Простыеакции;STK;G1;30000;2; 60 000,00 
16/01/24 16:16;UZ7025870005 BIOK;<Biokimyo>AJ;Простыеакции;STK;G1;30000;10; 300 000,00 
16/01/24 16:16;UZ7026620003 FAYM;<Farg'onayog'-moy>AJ;Простыеакции;STK;G1;9696;2; 19 392,00 
16/01/24 16:16;UZ7028450003 BECM;<Bekobodsement>AJ;Простыеакции;STK;G1;22000;1; 22 000,00 
16/01/24 16:16;UZ7029000005 QZSM;<Qizilqumsement>AJ;Простыеакции;STK;G1;2700;10; 27 000,00 
16/01/24 16:16;UZ7029000005 QZSM;<Qizilqumsement>AJ;Простыеакции;STK;G1;2700;27; 72 900,00 
16/01/24 16:16;UZ7029000005 QZSM;<Qizilqumsement>AJ;Простыеакции;STK;G1;2700;1; 2 700,00 
16/01/24 16:16;UZ7029000005 QZSM;<Qizilqumsement>AJ;Простыеакции;STK;G1;2700;172; 464 400,00 
16/01/24 16:16;UZ7029000005 QZSM;<Qizilqumsement>AJ;Простыеакции;STK;G1;2700;50; 135 000,00 
16/01/24 16:16;UZ7029000005 QZSM;<Qizilqumsement>AJ;Простыеакции;STK;G1;2700;1; 2 700,00 
16/01/24 16:16;UZ7029000005 QZSM;<Qizilqumsement>AJ;Простыеакции;STK;G1;2700;3; 8 100,00 
16/01/24 16:16;UZ7029000005 QZSM;<Qizilqumsement>AJ;Простыеакции;STK;G1;2700;33; 89 100,00 
16/01/24 16:16;UZ7030980005 BNGA;<Buxoroneftgazavtonaql>AJ;Простыеакции;STK;G1;7689,99;1; 7 689,99 
16/01/24 16:16;UZ7033480003 TRSB;<Trastbank>XAB;Простыеакции;STK;G1;11800;1; 11 800,00 
16/01/24 16:16;UZ7033480003 TRSB;<Trastbank>XAB;Простыеакции;STK;G1;11800;5; 59 000,00 
16/01/24 16:16;UZ7036030003 AEMK;<Andijonyog'moy>AJ;Простыеакции;STK;G1;10561,2;1; 10 561,20 
16/01/24 16:16;UZ7037560008 SQBN;<O'zsanoatqurilishbank>ATB;Простыеакции;STK;G1;10;20; 200,00 
16/01/24 16:16;UZ703756K015 SQBNP;<O'zsanoatqurilishbank>ATB;Прив.акции;STK;G1;37,94;171; 6 487,74 
16/01/24 16:16;UZ703756K015 SQBNP;<O'zsanoatqurilishbank>ATB;Прив.акции;STK;G1;37,94;2089; 79 256,66 
16/01/24 16:16;UZ703756K015 SQBNP;<O'zsanoatqurilishbank>ATB;Прив.акции;STK;G1;37,94;4600; 174 524,00 
16/01/24 16:16;UZ7038450001 UZPT;<Uzparta'minot>AJ;Простыеакции;STK;G1;977;45; 43 965,00 
16/01/24 16:16;UZ7046910004 UNVB;ATB<Universalbank>;Простыеакции;STK;G1;9073;15; 136 095,00 
16/01/24 16:16;UZ7046910004 UNVB;ATB<Universalbank>;Простыеакции;STK;G1;9073;3; 27 219,00 
16/01/24 16:16;UZ7046910004 UNVB;ATB<Universalbank>;Простыеакции;STK;G1;9073;36; 326 628,00 
16/01/24 16:16;UZ7046910004 UNVB;ATB<Universalbank>;Простыеакции;STK;G1;9073;15; 136 095,00 
16/01/24 16:16;UZ7046910004 UNVB;ATB<Universalbank>;Простыеакции;STK;G1;9073;1; 9 073,00 
16/01/24 16:16;UZ7046910004 UNVB;ATB<Universalbank>;Простыеакции;STK;G1;9073;4; 36 292,00 
16/01/24 16:16;UZ7046910004 UNVB;ATB<Universalbank>;Простыеакции;STK;G1;9073;2; 18 146,00 
16/01/24 16:16;UZ7046910004 UNVB;ATB<Universalbank>;Простыеакции;STK;G1;9073;1; 9 073,00 
16/01/24 16:16;UZ7046910004 UNVB;ATB<Universalbank>;Простыеакции;STK;G1;9073;3; 27 219,00 
16/01/24 16:16;UZ7047110000 UZTL;<O'zbektelekom>AK;Простыеакции;STK;G1;5500;1; 5 500,00 
16/01/24 16:16;UZ7047110000 UZTL;<O'zbektelekom>AK;Простыеакции;STK;G1;5500;13; 71 500,00 
