Время;ISIN;Эмитент;Тип ценной бумаги;Рынок;Площадка;Торговая цена;Кол-во ЦБ;itoog
19/01/24 19:16;UZ700055K015 AGMKP;<OlmaliqKMK>AJ;Прив.акции;STK;G1;9300;12;111600
19/01/24 19:16;UZ700055K015 AGMKP;<OlmaliqKMK>AJ;Прив.акции;STK;G1;9300;3;27900
19/01/24 19:16;UZ700055K015 AGMKP;<OlmaliqKMK>AJ;Прив.акции;STK;G1;9300;2;18600
19/01/24 19:16;UZ700055K015 AGMKP;<OlmaliqKMK>AJ;Прив.акции;STK;G1;9300;1;9300
19/01/24 19:16;UZ700055K015 AGMKP;<OlmaliqKMK>AJ;Прив.акции;STK;G1;9300;10;93000
19/01/24 19:16;UZ700055K015 AGMKP;<OlmaliqKMK>AJ;Прив.акции;STK;G1;9300;19;176700
19/01/24 19:16;UZ700055K015 AGMKP;<OlmaliqKMK>AJ;Прив.акции;STK;G1;9300;2;18600
19/01/24 19:16;UZ700055K015 AGMKP;<OlmaliqKMK>AJ;Прив.акции;STK;G1;9300;5;46500
19/01/24 19:16;UZ700055K015 AGMKP;<OlmaliqKMK>AJ;Прив.акции;STK;G1;9300;36;334800
19/01/24 19:16;UZ700110K018 KFLTP;<KAFOLATsug'urtakompaniyasi>AJ;Прив.акции;STK;G1;400;233;93200
19/01/24 19:16;UZ700110K018 KFLTP;<KAFOLATsug'urtakompaniyasi>AJ;Прив.акции;STK;G1;400;17;6800
19/01/24 19:16;UZ700110K018 KFLTP;<KAFOLATsug'urtakompaniyasi>AJ;Прив.акции;STK;G1;400;4;1600
19/01/24 19:16;UZ7011340005 HMKB;<Hamkorbank>ATB;Простыеакции;STK;G1;59;78;4602
19/01/24 19:16;UZ701456K014 YGYMP;<Yangiyo'lyog'-moy>AJ;Прив.акции;STK;G1;7152;7;50064
19/01/24 19:16;UZ701456K014 YGYMP;<Yangiyo'lyog'-moy>AJ;Прив.акции;STK;G1;7152;7;50064
19/01/24 19:16;UZ701456K014 YGYMP;<Yangiyo'lyog'-moy>AJ;Прив.акции;STK;G1;7152;6;42912
19/01/24 19:16;UZ701456K014 YGYMP;<Yangiyo'lyog'-moy>AJ;Прив.акции;STK;G1;7152;1;7152
19/01/24 19:16;UZ7016550004 KYEZ;XII<Kogonyog'-ekstraksiyazavodi>AJ;Простыеакции;STK;G1;413;33;13629
19/01/24 19:16;UZ7028660007 KASU;<Kapitalsug'urta>AJ;Простыеакции;STK;G1;0,02;20;0,4
19/01/24 19:16;UZ7028660007 KASU;<Kapitalsug'urta>AJ;Простыеакции;STK;G1;0,02;20;0,4
19/01/24 19:16;UZ7029000005 QZSM;<Qizilqumsement>AJ;Простыеакции;STK;G1;2576;60;154560
19/01/24 19:16;UZ7029000005 QZSM;<Qizilqumsement>AJ;Простыеакции;STK;G1;2576;3;7728
19/01/24 19:16;UZ7029000005 QZSM;<Qizilqumsement>AJ;Простыеакции;STK;G1;2576;15;38640
19/01/24 19:16;UZ7029000005 QZSM;<Qizilqumsement>AJ;Простыеакции;STK;G1;2576;1515;3902640
19/01/24 19:16;UZ7029000005 QZSM;<Qizilqumsement>AJ;Простыеакции;STK;G1;2576;4485;11553360
19/01/24 19:16;UZ7036271003 UZNGP;<O'zbekneftgaz>AJ;Прив.акции;STK;G1;1840,01;15;27600,15
19/01/24 19:16;UZ7037560008 SQBN;<O'zsanoatqurilishbank>ATB;Простыеакции;STK;G1;10;1;10
19/01/24 19:16;UZ7037560008 SQBN;<O'zsanoatqurilishbank>ATB;Простыеакции;STK;G1;10;1;10
19/01/24 19:16;UZ7038380000 CBSK;<Chilonzorbuyumsavdokompleksi>AJ;Простыеакции;STK;G1;2,68;100000;268000
19/01/24 19:16;UZ7039920002 IPKY;AITB<IpakYo'li>;Простыеакции;STK;G1;77;41;3157
19/01/24 19:16;UZ7039920002 IPKY;AITB<IpakYo'li>;Простыеакции;STK;G1;77;19470;1499190
19/01/24 19:16;UZ7043200003 URTS;<O'zRTXB>AJ;Простыеакции;STK;G1;17000;1;17000
19/01/24 19:16;UZ7043200003 URTS;<O'zRTXB>AJ;Простыеакции;STK;G1;17000;40;680000
19/01/24 19:16;UZ7043200003 URTS;<O'zRTXB>AJ;Простыеакции;STK;G1;17000;1;17000
19/01/24 19:16;UZ704338K011 UTGAP;<O'ztransgaz>AJ;Прив.акции;STK;G1;7900;1;7900
19/01/24 19:16;UZ7044760005 ALKB;AT<Aloqabank>;Простыеакции;STK;G1;89;9;801
19/01/24 19:16;UZ7046910004 UNVB;ATB<Universalbank>;Простыеакции;STK;G1;10000;10;100000
19/01/24 19:16;UZ7046910004 UNVB;ATB<Universalbank>;Простыеакции;STK;G1;10000;9;90000
19/01/24 19:16;UZ7046910004 UNVB;ATB<Universalbank>;Простыеакции;STK;G1;10000;11;110000
19/01/24 19:16;UZ7047110000 UZTL;<O'zbektelekom>AK;Простыеакции;STK;G1;5259;1;5259
19/01/24 19:16;UZ7047110000 UZTL;<O'zbektelekom>AK;Простыеакции;STK;G1;5259;99;520641
19/01/24 19:16;UZ7047110000 UZTL;<O'zbektelekom>AK;Простыеакции;STK;G1;5259;1;5259
19/01/24 19:16;UZ7047110000 UZTL;<O'zbektelekom>AK;Простыеакции;STK;G1;5259;80;420720
19/01/24 19:16;UZ7047110000 UZTL;<O'zbektelekom>AK;Простыеакции;STK;G1;5259;200;1051800
19/01/24 19:16;UZ7054590003 DORI;<DORI-DARMON>AK;Простыеакции;STK;G1;9349;1;9349
