id,title,link,views,read_time,author_name,create_date,author_link
775318,Руководство по кэшированию в Django,https://habr.com/ru/companies/otus/articles/775318/,3K,14 мин,rikki_tikki,"2023-11-21, 12:08",https://habr.com/ru/users/rikki_tikki/
498596,Выпущено еще одно дополнение управления доступом на уровне строк для Django REST Framework,https://habr.com/ru/news/498596/,4.6K,1 мин,nnseva,"2020-04-22, 22:49",https://habr.com/ru/users/nnseva/
778430,Вышел Django 5.0,https://habr.com/ru/news/778430/,13K,1 мин,denis-19,"2023-12-04, 18:54",https://habr.com/ru/users/denis-19/
593937,Выпущен Django 4.0,https://habr.com/ru/news/593937/,12K,1 мин,victory404,"2021-12-07, 16:05",https://habr.com/ru/users/victory404/
690274,Пример Django Admin Stacked Inline: отношения многие-к-одному и многие-ко-многим,https://habr.com/ru/companies/otus/articles/690274/,8.4K,2 мин,rikki_tikki,"2022-09-26, 21:27",https://habr.com/ru/users/rikki_tikki/
675074,"Разработчики Django исправили уязвимость, которая может привести к подстановке стороннего SQL-кода",https://habr.com/ru/news/675074/,2.5K,1 мин,maybe_elf,"2022-07-05, 09:43",https://habr.com/ru/users/maybe_elf/
721036,Вебинар «Релиз приложения в облаке: разворачиваем Django на промышленные рельсы» 14 марта,https://habr.com/ru/companies/vk/news/721036/,757,1 мин,Alyona_Plekhanova,"2023-03-07, 18:08",https://habr.com/ru/users/Alyona_Plekhanova/
538040,Настройка аутентификации JWT в новом проекте Django,https://habr.com/ru/articles/538040/,80K,28 мин,Anonerror,"2021-01-19, 11:26",https://habr.com/ru/users/Anonerror/
582030,Тестируем собственную батарейку для Django с pytest и tox,https://habr.com/ru/articles/582030/,4.2K,8 мин,V-ampre,"2021-10-06, 22:09",https://habr.com/ru/users/V-ampre/
713490,React+Django как написать Hello World,https://habr.com/ru/articles/713490/,29K,26 мин,Eldalex,"2023-01-29, 12:33",https://habr.com/ru/users/Eldalex/
